type,x,y,z,xmin,xmax,ymin,ymax,zmin,zmax,att_dB
RIS,70.0000,16.0000,4.0000,,,,,,,
Tx,0.0000,10.0000,2.0000,,,,,,,
Tx,79.0000,50.0000,2.0000,,,,,,,
Rx,62.0000,17.0000,1.5000,,,,,,,
Rx,15.0000,11.0000,1.5000,,,,,,,
Rx,23.0000,19.0000,1.5000,,,,,,,
Rx,23.0000,18.0000,1.5000,,,,,,,
Rx,22.0000,20.0000,1.5000,,,,,,,
Rx,29.0000,13.0000,1.5000,,,,,,,
Rx,23.0000,15.0000,1.5000,,,,,,,
Rx,38.0000,19.0000,1.5000,,,,,,,
Rx,63.0000,21.0000,1.5000,,,,,,,
Rx,43.0000,21.0000,1.5000,,,,,,,
Rx,25.0000,15.0000,1.5000,,,,,,,
Rx,58.0000,20.0000,1.5000,,,,,,,
Rx,45.0000,15.0000,1.5000,,,,,,,
Rx,13.0000,22.0000,1.5000,,,,,,,
Rx,60.0000,16.0000,1.5000,,,,,,,
Rx,14.0000,18.0000,1.5000,,,,,,,
Rx,38.0000,5.0000,1.5000,,,,,,,
Rx,29.0000,11.0000,1.5000,,,,,,,
Rx,61.0000,17.0000,1.5000,,,,,,,
Rx,42.0000,16.0000,1.5000,,,,,,,
OBST,,,,0.0,28.0,25.0,52.0,0.0,15.0,40.0
OBST,,,,38.0,70.0,25.0,52.0,0.0,12.0,40.0
OBST,,,,52.0,70.0,0.0,10.5,0.0,9.0,40.0
OBST,,,,2.0,13.0,0.0,10.5,0.0,5.0,25.0
OBST,,,,15.0,28.0,0.0,10.5,0.0,5.0,25.0
OBST,,,,39.0,50.0,0.0,10.5,0.0,5.0,25.0
OBST,,,,5.0,9.5,23.0,24.5,0.0,1.5,10.0
OBST,,,,14.0,18.5,23.0,24.5,0.0,1.5,10.0
OBST,,,,22.0,26.5,23.0,24.5,0.0,1.5,10.0
OBST,,,,44.0,48.5,23.0,24.5,0.0,1.5,10.0
OBST,,,,56.0,60.5,23.0,24.5,0.0,1.5,10.0
OBST,,,,7.0,11.5,11.5,13.0,0.0,1.5,10.0
OBST,,,,21.0,25.5,11.5,13.0,0.0,1.5,10.0
OBST,,,,40.0,44.5,11.5,13.0,0.0,1.5,10.0
OBST,,,,58.0,62.5,11.5,13.0,0.0,1.5,10.0
OBST,,,,30.0,37.0,4.0,9.0,0.0,2.5,15.0
