datahora,iter,fitness,SE_med,SE_min,SE_5,RISx,RISy,RISz,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,se_18,se_19,se_20
2026-06-03 16:52:38,1,1.452150,2.904197,0.000103,0.094439,13.5499,13.5335,4.0000,0.203571,4.283185,7.174133,7.230578,7.249850,1.519961,2.337633,0.792876,0.188775,4.921174,2.003983,0.245003,0.527856,8.214547,0.226325,8.607771,0.000103,1.509558,0.214119,0.632943
2026-06-03 16:52:38,2,1.517415,3.034669,0.000161,0.164145,4.6215,14.4862,4.0000,0.349462,3.752517,7.237771,7.285312,7.317630,1.829986,2.510611,1.106516,0.328129,5.022735,2.269663,0.413311,0.789973,8.362211,0.383548,8.631557,0.000161,1.819505,0.365522,0.917260
2026-06-03 16:52:39,3,1.517415,3.034669,0.000161,0.164145,4.6215,14.4862,4.0000,0.349462,3.752517,7.237771,7.285312,7.317630,1.829986,2.510611,1.106516,0.328129,5.022735,2.269663,0.413311,0.789973,8.362211,0.383548,8.631557,0.000161,1.819505,0.365522,0.917260
2026-06-03 16:52:39,4,1.517415,3.034669,0.000161,0.164145,4.6215,14.4862,4.0000,0.349462,3.752517,7.237771,7.285312,7.317630,1.829986,2.510611,1.106516,0.328129,5.022735,2.269663,0.413311,0.789973,8.362211,0.383548,8.631557,0.000161,1.819505,0.365522,0.917260
2026-06-03 16:52:39,5,1.517415,3.034669,0.000161,0.164145,4.6215,14.4862,4.0000,0.349462,3.752517,7.237771,7.285312,7.317630,1.829986,2.510611,1.106516,0.328129,5.022735,2.269663,0.413311,0.789973,8.362211,0.383548,8.631557,0.000161,1.819505,0.365522,0.917260
2026-06-03 16:52:40,6,1.572901,3.145596,0.000206,0.214298,1.0000,14.3399,4.0000,0.454176,3.846848,7.279099,7.326014,7.360755,2.035980,2.701818,1.305458,0.428390,5.084390,2.455264,0.531485,0.963228,8.396500,0.495428,8.642623,0.000206,2.028090,0.473681,1.102483
2026-06-03 16:52:40,7,1.572901,3.145596,0.000206,0.214298,1.0000,14.3399,4.0000,0.454176,3.846848,7.279099,7.326014,7.360755,2.035980,2.701818,1.305458,0.428390,5.084390,2.455264,0.531485,0.963228,8.396500,0.495428,8.642623,0.000206,2.028090,0.473681,1.102483
2026-06-03 16:52:41,8,1.572901,3.145596,0.000206,0.214298,1.0000,14.3399,4.0000,0.454176,3.846848,7.279099,7.326014,7.360755,2.035980,2.701818,1.305458,0.428390,5.084390,2.455264,0.531485,0.963228,8.396500,0.495428,8.642623,0.000206,2.028090,0.473681,1.102483
2026-06-03 16:52:41,9,1.572901,3.145596,0.000206,0.214298,1.0000,14.3399,4.0000,0.454176,3.846848,7.279099,7.326014,7.360755,2.035980,2.701818,1.305458,0.428390,5.084390,2.455264,0.531485,0.963228,8.396500,0.495428,8.642623,0.000206,2.028090,0.473681,1.102483
2026-06-03 16:52:42,10,1.865099,3.730171,0.000027,0.430393,1.0000,10.5831,4.0000,0.910869,5.111826,7.525932,7.575795,7.603340,3.077517,3.793156,2.146388,0.860759,5.333764,3.525959,1.036420,1.705846,8.608782,0.982911,8.875254,0.000027,3.089734,0.944359,1.894774
